group,model,n,mean_prob,median_prob,mean_rank,median_rank,pct_rank1,pct_rank_le_5,pct_rank_le_10,pct_prob_low,pct_prob_mid,pct_prob_high,mean_entropy,mean_time_s
algorithmic,Qwen/Qwen3.5-2B-Base,30,0.15,0.0,68.53,13.0,20.0,36.67,40.0,63.33,36.67,0.0,3.93,0.12
algorithmic,Qwen/Qwen3.5-35B-A3B,30,0.29,0.24,5.1,2.0,40.0,93.33,96.67,16.67,83.33,0.0,3.05,0.31
algorithmic,Qwen/Qwen3.5-9B-Base,30,0.34,0.29,4.53,2.0,46.67,76.67,86.67,26.67,73.33,0.0,3.65,0.17
algorithmic,allenai/Olmo-Hybrid-7B,30,0.47,0.63,201.43,1.0,66.67,70.0,70.0,30.0,56.67,13.33,3.8,0.17
code_comprehension,Qwen/Qwen3.5-2B-Base,15,0.17,0.17,3.07,3.0,0.0,100.0,100.0,13.33,86.67,0.0,2.48,0.12
code_comprehension,Qwen/Qwen3.5-35B-A3B,15,0.25,0.25,2.6,2.0,26.67,86.67,100.0,13.33,86.67,0.0,2.21,0.32
code_comprehension,Qwen/Qwen3.5-9B-Base,15,0.08,0.05,3.73,3.0,0.0,86.67,100.0,40.0,60.0,0.0,1.75,0.17
code_comprehension,allenai/Olmo-Hybrid-7B,15,0.43,0.45,1.27,1.0,73.33,100.0,100.0,0.0,100.0,0.0,2.12,0.17
cultural_memorized,Qwen/Qwen3.5-2B-Base,25,0.53,0.62,5.56,1.0,76.0,80.0,88.0,24.0,44.0,32.0,3.34,0.13
cultural_memorized,Qwen/Qwen3.5-35B-A3B,25,0.68,0.84,1.72,1.0,84.0,92.0,96.0,8.0,44.0,48.0,2.21,0.33
cultural_memorized,Qwen/Qwen3.5-9B-Base,25,0.63,0.78,1.68,1.0,84.0,96.0,96.0,12.0,52.0,36.0,2.67,0.17
cultural_memorized,allenai/Olmo-Hybrid-7B,25,0.57,0.61,2.76,1.0,76.0,92.0,92.0,12.0,52.0,36.0,2.92,0.18
domain_knowledge,Qwen/Qwen3.5-2B-Base,60,0.29,0.02,261.13,7.0,33.33,45.0,53.33,55.0,20.0,25.0,4.16,0.13
domain_knowledge,Qwen/Qwen3.5-35B-A3B,60,0.38,0.1,95.47,3.5,46.67,55.0,63.33,46.67,30.0,23.33,2.89,0.35
domain_knowledge,Qwen/Qwen3.5-9B-Base,60,0.36,0.07,118.3,3.5,43.33,55.0,60.0,48.33,26.67,25.0,3.29,0.19
domain_knowledge,allenai/Olmo-Hybrid-7B,60,0.35,0.1,290.88,2.0,45.0,60.0,66.67,45.0,30.0,25.0,4.1,0.19
factual_recall,Qwen/Qwen3.5-2B-Base,80,0.08,0.0,1136.14,14.5,12.5,26.25,41.25,80.0,17.5,2.5,5.12,0.12
factual_recall,Qwen/Qwen3.5-35B-A3B,80,0.13,0.03,428.39,4.5,16.25,51.25,57.5,58.75,38.75,2.5,4.23,0.3
factual_recall,Qwen/Qwen3.5-9B-Base,80,0.1,0.02,503.21,7.0,16.25,46.25,57.5,71.25,26.25,2.5,4.88,0.17
factual_recall,allenai/Olmo-Hybrid-7B,80,0.1,0.01,758.16,11.0,18.75,37.5,48.75,75.0,22.5,2.5,5.29,0.17
factual_retrieval,Qwen/Qwen3.5-2B-Base,40,0.06,0.0,821.98,66.0,7.5,25.0,30.0,82.5,17.5,0.0,5.3,0.12
factual_retrieval,Qwen/Qwen3.5-35B-A3B,40,0.14,0.01,87.4,8.0,15.0,42.5,52.5,72.5,22.5,5.0,4.11,0.32
factual_retrieval,Qwen/Qwen3.5-9B-Base,40,0.11,0.01,106.8,8.0,15.0,35.0,55.0,70.0,27.5,2.5,4.68,0.17
factual_retrieval,allenai/Olmo-Hybrid-7B,40,0.09,0.01,215.2,13.0,10.0,25.0,42.5,80.0,17.5,2.5,4.82,0.17
long_range_retrieval,Qwen/Qwen3.5-2B-Base,30,0.64,0.73,77.13,1.0,83.33,90.0,90.0,10.0,60.0,30.0,2.57,0.13
long_range_retrieval,Qwen/Qwen3.5-35B-A3B,30,0.72,0.82,94.97,1.0,90.0,90.0,90.0,10.0,63.33,26.67,1.84,0.36
long_range_retrieval,Qwen/Qwen3.5-9B-Base,30,0.65,0.77,370.53,1.0,90.0,90.0,90.0,10.0,76.67,13.33,2.46,0.18
long_range_retrieval,allenai/Olmo-Hybrid-7B,30,0.34,0.3,9.23,1.0,63.33,86.67,90.0,10.0,90.0,0.0,4.67,0.18
reasoning_numerical,Qwen/Qwen3.5-2B-Base,40,0.17,0.0,10.38,11.5,25.0,37.5,47.5,62.5,35.0,2.5,1.74,0.12
reasoning_numerical,Qwen/Qwen3.5-35B-A3B,40,0.19,0.0,9.05,11.5,37.5,37.5,47.5,62.5,37.5,0.0,1.59,0.32
reasoning_numerical,Qwen/Qwen3.5-9B-Base,40,0.17,0.0,8.28,11.0,25.0,37.5,47.5,62.5,37.5,0.0,1.56,0.17
reasoning_numerical,allenai/Olmo-Hybrid-7B,40,0.58,0.63,1.07,1.0,92.5,100.0,100.0,0.0,100.0,0.0,2.94,0.17
reasoning_tracking,Qwen/Qwen3.5-2B-Base,40,0.15,0.15,7.47,2.0,27.5,62.5,72.5,42.5,57.5,0.0,3.31,0.12
reasoning_tracking,Qwen/Qwen3.5-35B-A3B,40,0.2,0.09,2.3,2.0,35.0,100.0,100.0,30.0,70.0,0.0,2.78,0.32
reasoning_tracking,Qwen/Qwen3.5-9B-Base,40,0.39,0.26,2.17,1.0,55.0,92.5,100.0,27.5,47.5,25.0,2.32,0.17
reasoning_tracking,allenai/Olmo-Hybrid-7B,40,0.31,0.23,5.83,1.0,52.5,72.5,82.5,27.5,67.5,5.0,4.11,0.17
structural_copying,Qwen/Qwen3.5-2B-Base,49,0.06,0.01,17.1,11.0,6.12,26.53,48.98,77.55,18.37,4.08,4.3,0.14
structural_copying,Qwen/Qwen3.5-35B-A3B,49,0.1,0.02,13.2,9.0,16.33,40.82,59.18,59.18,36.73,4.08,3.68,0.33
structural_copying,Qwen/Qwen3.5-9B-Base,49,0.07,0.01,16.33,10.0,8.16,32.65,53.06,73.47,22.45,4.08,4.14,0.18
structural_copying,allenai/Olmo-Hybrid-7B,49,0.07,0.01,59.24,23.0,12.24,30.61,38.78,71.43,24.49,4.08,4.56,0.18
syntactic_pattern,Qwen/Qwen3.5-2B-Base,25,0.08,0.0,1053.2,458.0,16.0,24.0,24.0,80.0,16.0,4.0,5.98,0.12
syntactic_pattern,Qwen/Qwen3.5-35B-A3B,25,0.09,0.0,1254.84,382.0,12.0,28.0,28.0,76.0,24.0,0.0,5.2,0.3
syntactic_pattern,Qwen/Qwen3.5-9B-Base,25,0.09,0.0,1378.24,438.0,12.0,28.0,28.0,76.0,20.0,4.0,5.71,0.17
syntactic_pattern,allenai/Olmo-Hybrid-7B,25,0.09,0.0,1373.88,413.0,12.0,28.0,28.0,76.0,20.0,4.0,5.64,0.17
